areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,title,addr1,addr2,tel,zipcode,sigungu
37,A01,A0101,A01010900,129681,12,20070813000000,http://tong.visitkorea.or.kr/cms/resource/79/219579_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/219579_image3_1.jpg,127.4377085322,35.9085419668,6.0,20201210132941,38056.0,14.0,갈거계곡,전라북도 진안군 정천면 휴양림길 77,,,55410,14
36,A02,A0201,A02010700,128654,12,20051114000000,,,127.8147003936,35.7931506445,6.0,20200228141042,17268.0,2.0,갈계리삼층석탑,경상남도 거창군 북상면 갈계리,,,50102,2
36,A01,A0101,A01010500,1577238,12,20120323174512,,,127.8181892859,35.7815214706,6.0,20201230103952,16810.0,2.0,갈계숲,경상남도 거창군 북상면 묵계길 44-4,,,50102,2
32,A02,A0204,A02040600,2511669,12,20171018101334,,,128.8432831780,37.8245147710,6.0,20200713145756,1647.0,1.0,갈골한과마을 명인의 집,강원도 강릉시 사천면 중앙서로 62,(사천면),,25434,1
33,A01,A0101,A01010400,127781,12,20031022000000,,,127.6280083624,36.1121138260,6.0,20201102133244,23457.0,4.0,갈기산,충청북도 영동군 양산면 호탄리,,,29160,4
32,A01,A0101,A01011400,2400130,12,20160812093736,,,129.3263011297,37.2786732651,6.0,20160927153932,971.0,4.0,갈남항,강원도 삼척시 원덕읍 갈남리,(원덕읍),033-572-3011,25956,4
31,A05,A0502,A05020100,2514616,39,20171109094403,http://tong.visitkorea.or.kr/cms/resource/05/2514605_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2514605_image2_1.jpg,127.2432761204,37.3211402549,6.0,20200210170824,1814.0,23.0,갈담부대찌개,경기도 용인시 처인구 모현읍 파담로 140-23,,031-333-9470,17036,23
36,A03,A0303,A03030600,131091,28,20030528000000,,,128.1855223235,34.5654564250,6.0,20200820153217,19429.0,17.0,갈도,경상남도 통영시 욕지면 갈도길,(욕지면),055-650-4553,53100,17
36,A03,A0303,A03030600,131578,28,20020703000000,http://tong.visitkorea.or.kr/cms/resource/83/822483_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/822483_image3_1.jpg,128.1780648071,34.5588875823,6.0,20200818144206,21214.0,17.0,갈도 남쪽 홈통,경상남도 통영시 욕지면 갈도길,(욕지면),,53100,17
38,A01,A0101,A01011500,129024,12,20060621000000,http://tong.visitkorea.or.kr/cms/resource/92/981992_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/981992_image3_1.jpg,126.5285847288,34.2998052878,6.0,20200513132542,39523.0,23.0,갈두마을(땅끝마을),전라남도 해남군 송지면 땅끝마을길 82,,,59065,23
34,A02,A0203,A02030100,2629105,12,20191022172226,http://tong.visitkorea.or.kr/cms/resource/96/2629096_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/96/2629096_image2_1.bmp,126.2574770059,36.7988972173,6.0,20201214094419,0.0,14.0,갈두천권역마을,충청남도 태안군 원북면 대기길 12-20,,,32112,14
33,A01,A0101,A01010900,753397,12,20090616094259,http://tong.visitkorea.or.kr/cms/resource/81/2675581_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/81/2675581_image2_1.JPG,127.8569707814,36.7322664914,6.0,20210409163857,39890.0,1.0,갈론계곡,충청북도 괴산군 칠성면 비도1길 29,,,28017,1
32,A05,A0502,A05020100,626353,39,20080919113816,http://tong.visitkorea.or.kr/cms/resource/24/588124_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/588124_image3_1.jpg,128.5876049279,38.2264436798,6.0,20200326110915,15224.0,5.0,갈릴리회집,강원도 속초시 장사항해안길 55,,033-632-1199,24804,5
39,A01,A0101,A01010500,1887381,12,20140120154604,,,126.8115590479,33.3870224256,6.0,20201224112257,2684.0,3.0,갈마못(갈뫼못),제주특별자치도 서귀포시 성산읍 중산간동로,(신풍리),,63635,3
32,A05,A0502,A05020900,2685459,39,20201124163357,http://tong.visitkorea.or.kr/cms/resource/78/2684778_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2684778_image2_1.jpg,128.8430040037,37.8703733430,6.0,20210312100342,0.0,1.0,갈매기다방,강원도 강릉시 연곡면 영진길 63,,010-9110-1874,25429,1
2,A03,A0303,A03030600,131845,28,20060412000000,,,126.6232111927,37.4876043234,6.0,20200818095927,26829.0,5.0,갈매기배낚시,인천광역시 동구 보세로 4,(만석동),032-765-4191,22501,5
36,A01,A0101,A01010600,2613159,12,20190726135107,,,128.2693627701,34.9727568130,6.0,20201231153853,0.0,3.0,갈모봉 산림욕장,경상남도 고성군 고성읍 이당리,,,52933,3
36,B02,B0201,B02010700,2579457,32,20181218104310,,,128.2677822725,34.9758092205,6.0,20201103162332,14.0,3.0,갈모봉 힐링스테이,경상남도 고성군 고성읍 이당5길 149-21,,010-2779-2212,52933,3
38,A01,A0101,A01011300,580288,12,20080627090914,,,125.9471912472,34.3062257853,6.0,20210322145215,19688.0,21.0,갈목도,전라남도 진도군 조도면 진목도갈목길 10,,,58956,21
3,A05,A0502,A05020100,2580078,39,20181218174344,,,127.4653476261,36.4277332081,6.0,20200210170807,11.0,1.0,갈밭식당,대전광역시 대덕구 대청호수로 1553,(갈전동),042-932-3872,34316,1
36,A05,A0502,A05020100,2577521,39,20181213101300,,,128.6928918357,34.8937149258,6.0,20200210170747,13.0,1.0,갈비1번지,경상남도 거제시 옥포대첩로 48,1층(옥포동),055-688-1458,53229,1
1,A05,A0502,A05020100,2685364,39,20201124145731,http://tong.visitkorea.or.kr/cms/resource/57/2682757_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2682757_image2_1.jpg,126.8982600224,37.5264158054,6.0,20210312094330,0.0,20.0,갈비가,서울특별시 영등포구 당산로32길 11,,02-2671-9246,07257,20
6,A05,A0502,A05020100,2607508,39,20190620165919,http://tong.visitkorea.or.kr/cms/resource/11/2607511_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2607511_image2_1.jpg,129.0563669161,35.1599862176,6.0,20210210103038,0.0,7.0,갈비곳간,부산광역시 부산진구 서면문화로 32,,051-714-4457,47256,7
7,A05,A0502,A05020100,719757,39,20090413164540,,,129.1176727061,35.5606062683,6.0,20210407172832,21073.0,5.0,갈비구락부,울산광역시 울주군 삼남읍 남상평2길 34-12,,052-264-4747,44948,5
36,A05,A0502,A05020100,2579120,39,20181217152054,,,128.3313329474,34.9504104213,6.0,20200210170720,3.0,3.0,갈비명가 가야골,경상남도 고성군 고성읍 신월로 89,,055-674-1237,52949,3
36,A05,A0502,A05020100,2370833,39,20160226093649,http://tong.visitkorea.or.kr/cms/resource/55/2370855_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/55/2370855_image2_1.jpeg,128.6081672485,35.2573309774,6.0,20200210170712,5720.0,16.0,갈비명가 소반,경상남도 창원시 의창구 의창대로70번길 1,,055-297-3700,51376,16
31,A05,A0502,A05020100,699542,39,20090225153138,http://tong.visitkorea.or.kr/cms/resource/21/700321_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/700321_image3_1.jpg,127.3688776584,38.0263661321,6.0,20200511133117,17867.0,29.0,갈비명가할머니집,경기도 포천시 이동면 화동로 2000,,031-531-1700,11111,29
37,A05,A0502,A05020100,2568281,39,20181121112811,,,126.6982062510,35.9679251522,,20200428161300,5.0,2.0,갈비스토리,전라북도 군산시 하나운1길 15,(나운동),063-442-2832,54131,2
1,A02,A0202,A02020700,1116925,12,20101026133528,http://tong.visitkorea.or.kr/cms/resource/62/2612062_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/62/2612062_image2_1.bmp,126.8701381400,37.5066953728,6.0,20201130145729,30919.0,19.0,갈산근린공원,서울특별시 양천구 신정동,,,08104,19
34,A01,A0101,A01011200,127311,12,20031211000000,http://tong.visitkorea.or.kr/cms/resource/17/199017_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/199017_image3_1.jpg,126.1639576939,36.6936383292,6.0,20200630151935,62759.0,14.0,갈음이해수욕장,충청남도 태안군 근흥면 갈음이길 38-30,,,32131,14
39,A02,A0203,A02030200,635593,12,20081010110127,,,126.3136806420,33.2351312882,6.0,20210311172423,28025.0,3.0,갈중이(천연염색체험),제주특별자치도 서귀포시 안덕면 사계남로216번길 24-61,,,63528,3
32,A01,A0101,A01010900,2398937,12,20160810151102,,,128.5065664726,37.9117092510,6.0,20160912141859,997.0,7.0,갈천계곡,강원도 양양군 서면 갈천리,,033-670-2251,,7
35,A02,A0201,A02010400,129010,12,20060619000000,,,129.3218943100,36.5975288568,6.0,20200410132805,18746.0,12.0,갈천동초가까치구멍집,경상북도 영덕군 창수면 장육사길 363,,,36402,12
36,A02,A0201,A02010700,1577060,12,20120323163740,,,127.8160978214,35.7808909491,6.0,20200227110809,15062.0,2.0,갈천서당,경상남도 거창군 북상면 송계로 767-34,(북상면),,50102,2
36,A02,A0201,A02010700,1959468,12,20141023110356,,,128.2510123914,35.0480785952,6.0,20201103133325,1321.0,3.0,갈천서원,경상남도 고성군 대가면 갈천로 620,(대가면),,52927,3
32,A01,A0101,A01011000,127535,12,20030827000000,http://tong.visitkorea.or.kr/cms/resource/82/738182_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/738182_image3_1.jpg,128.5029086488,37.9058931889,6.0,20201013170234,24752.0,7.0,갈천약수터,강원도 양양군 서면 구룡령로 1103-66,(서면),033-670-2721,25040,7
32,B02,B0201,B02010900,232304,32,20071012000000,http://tong.visitkorea.or.kr/cms/resource/87/2557287_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/2557287_image3_1.jpg,128.5042112321,37.9083929237,6.0,20201124142434,33104.0,7.0,갈천훼밀리리조트[한국관광 품질인증/Korea Quality],강원도 양양군 서면 구룡령로 1103-25,,033-673-7111,25040,7
33,A02,A0201,A02010900,1114686,12,20101021100531,http://tong.visitkorea.or.kr/cms/resource/10/1075110_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/1075110_image3_1.jpg,127.6411569266,37.1213983401,6.0,20200115152024,30504.0,6.0,감곡매괴성모순례지성당,충청북도 음성군 감곡면 성당길 10,,,27602,6
33,A04,A0401,A04010100,132406,38,20040223000000,,,127.6391460878,37.1182042275,6.0,20201015102201,10149.0,6.0,"감곡장 / 감곡시장 (3, 8일)",충청북도 음성군 감곡면 장감로132번길 22,,,27604,6
31,A05,A0502,A05020100,2681494,39,20201111104343,http://tong.visitkorea.or.kr/cms/resource/76/2681476_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2681476_image2_1.jpg,127.0529473267,37.0803841335,6.0,20210311145100,0.0,28.0,감골식당,경기도 평택시 중앙시장로 23-1,,031-666-4281,17758,28
1,A05,A0502,A05020900,2622715,39,20191002170423,http://tong.visitkorea.or.kr/cms/resource/19/2622719_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/2622719_image2_1.jpg,126.9900725369,37.5738480486,6.0,20200210170622,0.0,23.0,감꽃당,서울특별시 종로구 돈화문로11다길 38,,02-747-3999,03133,23
6,A05,A0502,A05020100,849941,39,20091030121702,http://tong.visitkorea.or.kr/cms/resource/30/1982630_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/1982630_image3_1.jpg,129.0557979895,35.2442128801,6.0,20210407145207,14048.0,2.0,감나무집,부산광역시 금정구 공해2길 2,(금성동),051-517-1378,46238,2
33,A05,A0502,A05020100,686369,39,20090129180422,,,128.0418067574,36.8388770944,6.0,20200212165525,17535.0,11.0,감나무집,충청북도 충주시 수안보면 미륵송계로 339-1,,043-846-0608,27500,11
39,A05,A0502,A05020100,1866954,39,20131203180755,,,126.5195597249,33.4941753491,6.0,20200210170605,3390.0,4.0,감나무집,제주특별자치도 제주시 오남로 12,,064-722-8292,63191,4
31,A05,A0502,A05020100,133832,39,20040220000000,http://tong.visitkorea.or.kr/cms/resource/84/1788084_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/1788084_image3_1.jpg,127.3033372906,37.5178907614,6.0,20200717150050,27224.0,9.0,감나무집,경기도 남양주시 조안면 다산로747번길 45,,031-576-8263,12283,9
32,A05,A0502,A05020100,1828984,39,20130718090103,http://tong.visitkorea.or.kr/cms/resource/41/1951341_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/1951341_image3_1.jpg,128.5909303155,38.2043713141,6.0,20210316155042,8647.0,5.0,감나무집 감자옹심이,강원도 속초시 중앙시장로 110-8,(중앙동),033-633-2306,24832,5
7,A05,A0502,A05020100,2573089,39,20181204154256,,,129.3527939930,35.5552529496,,20200121131323,7.0,4.0,감나무집(명촌점),울산광역시 북구 명촌12길 32,(명촌동),052-273-5292,44254,4
39,A01,A0101,A01010400,1887493,12,20140121101403,,,126.3457009272,33.3220583004,6.0,20201224145048,2202.0,3.0,감낭오름,제주특별자치도 서귀포시 안덕면 평화로,(동광리),,63524,3
6,A05,A0502,A05020100,2484386,39,20170308164837,http://tong.visitkorea.or.kr/cms/resource/78/2484378_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2484378_image2_1.jpg,129.0093365624,35.0989644052,6.0,20200731091255,2868.0,10.0,감내맛집,부산광역시 사하구 감내2로 159,,051-291-1444,49363,10
1,A02,A0201,A02010800,294439,12,20071126155251,http://tong.visitkorea.or.kr/cms/resource/85/2031885_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2031885_image3_1.jpg,127.0066015446,37.5753148419,6.0,20201027162341,24182.0,23.0,감로암(서울),서울특별시 종로구 율곡로23길 16,(충신동),,03099,23
37,A05,A0502,A05020100,1595441,39,20120406095516,,,127.1328374779,35.8394056159,,20200218155921,4533.0,12.0,감로헌,전라북도 전주시 덕진구 권삼득로 247,,063-275-8811,54931,12
39,A02,A0208,A02081300,2664434,15,20200721164918,http://tong.visitkorea.or.kr/cms/resource/32/2664432_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2664432_image2_1.jpg,126.8431022619,33.3213162956,6.0,20200721164918,0.0,3.0,감물 및 봉숭아 물들이기 체험행사 2020,제주특별자치도 서귀포시 표선면 민속해안로 631-34,,064-787-4501,63629,3
1,A05,A0502,A05020100,2652929,39,20200417143444,http://tong.visitkorea.or.kr/cms/resource/22/2654722_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2654722_image2_1.jpg,126.9961359696,37.5704652174,6.0,20210215162757,0.0,23.0,감미옥,서울특별시 종로구 종로 166-1,,02-2269-6933,03194,23
1,A05,A0502,A05020100,1985702,39,20150123110033,http://tong.visitkorea.or.kr/cms/resource/22/2654722_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2654722_image2_1.jpg,126.9961137502,37.5704180003,6.0,20210330142332,3633.0,23.0,감미옥(구 대성옥),서울특별시 종로구 종로 166-1,,02-2269-6933,03194,23
35,A02,A0203,A02030100,548138,12,20080418162543,http://tong.visitkorea.or.kr/cms/resource/03/1967203_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/1967203_image3_1.jpg,128.9006982586,35.7235366389,6.0,20210218135642,20948.0,20.0,감빛고을,경상북도 청도군 금천면 소천길 193,,,38361,20
4,A02,A0202,A02020700,1118418,12,20101028101433,http://tong.visitkorea.or.kr/cms/resource/87/2493687_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/2493687_image2_1.jpg,128.5522334637,35.8586426972,6.0,20200117142925,34972.0,6.0,감삼못공원,대구광역시 서구 서대구로3길 43,(내당동),,41856,6
32,A02,A0201,A02011000,2569515,12,20181124165331,http://tong.visitkorea.or.kr/cms/resource/93/2566293_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2566293_image3_1.jpg,127.5162822381,38.1665774939,6.0,20200615145112,56.0,17.0,감성마을 이외수 문학관,강원도 화천군 상서면 감성마을길 157,,,24104,17
37,B02,B0201,B02011600,2624165,32,20191011162110,,,127.1559194829,35.8116563957,,20200825161452,0.0,12.0,감성한옥,전라북도 전주시 완산구 전주천동로 44-2,(교동),,55045,12
31,A02,A0201,A02011000,2569511,12,20181124163058,http://tong.visitkorea.or.kr/cms/resource/79/2567379_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2567379_image3_1.jpg,126.9462300525,37.9371743841,6.0,20210305170719,72.0,27.0,감악산 출렁다리,경기도 파주시 적성면 설마리 48-6,,,10805,27
36,A01,A0101,A01010400,1576464,12,20120323110137,http://tong.visitkorea.or.kr/cms/resource/33/2675633_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2675633_image2_1.jpg,127.9295566252,35.5964221995,6.0,20201012183418,16676.0,2.0,감악산(거창),거창군 남상면 무촌리 산295번지 일원(신원면 구사리 산12-1 인근),,055-940-3396,50153,2
32,A01,A0101,A01010400,125600,12,20030430000000,http://tong.visitkorea.or.kr/cms/resource/73/1536673_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/1536673_image3_1.jpg,128.1500300952,37.2330309839,6.0,20210415131921,35371.0,9.0,감악산(원주),강원도 원주시 신림면 황둔리,",충청북도 제천시 봉양읍",,27108,9
31,A01,A0101,A01010400,125450,12,20021022000000,http://tong.visitkorea.or.kr/cms/resource/57/1855957_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/1855957_image3_1.jpg,126.9520635715,37.9121440779,6.0,20200713133932,67207.0,18.0,감악산(파주),경기도 파주시 적성면 감골길 48,,,10805,18
31,A05,A0502,A05020100,134877,39,20050203000000,http://tong.visitkorea.or.kr/cms/resource/13/1856013_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/1856013_image3_1.jpg,127.1320452081,37.5916457597,6.0,20200121131456,15416.0,6.0,감악산생꼬기꾸이,경기도 구리시 이문안로 6-1,,031-556-4077,11938,6
36,A01,A0101,A01010400,1905375,12,20140314134422,,,127.9818302022,35.4770505118,6.0,20201210132032,3632.0,21.0,감암산,경상남도 합천군 가회면 대기2길,(가회면),055-930-3752,50226,21
33,A02,A0206,A02060200,987769,14,20100326174419,http://tong.visitkorea.or.kr/cms/resource/34/1075534_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/1075534_image3_1.jpg,127.6470390172,36.9506931176,6.0,20210305163907,24447.0,6.0,감우재전승기념관,충청북도 음성군 음성읍 생음대로 594,,,27685,6
39,A01,A0101,A01010400,1887501,12,20140121102535,,,126.7397311555,33.4213952523,,20201224145013,2159.0,4.0,감은이오름,제주특별자치도 제주시 구좌읍 번영로,(송당리) 일대,,63355,4
35,A02,A0201,A02010800,294441,12,20071126161221,http://tong.visitkorea.or.kr/cms/resource/31/1399731_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/1399731_image3_1.jpg,128.3324840808,35.9346133921,6.0,20201027165300,22929.0,10.0,감응사(경북),경상북도 성주군 월항면 대산리,,,40041,10
32,A02,A0203,A02030400,2524116,12,20170831000043,http://tong.visitkorea.or.kr/cms/resource/00/2531500_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2531500_image2_1.jpg,128.4388445549,37.3688013247,6.0,20200318161938,846.0,15.0,감자꽃 스튜디오,강원도 평창군 평창읍 고길천로 105,,,25370,15
32,A05,A0502,A05020100,627582,39,20080923153315,http://tong.visitkorea.or.kr/cms/resource/06/591306_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/591306_image3_1.jpg,128.1860902759,38.0841608395,6.0,20200318160638,16203.0,10.0,감자네,강원도 인제군 인제읍 덕산로 84,,033-462-5766,24627,10
31,A05,A0502,A05020100,2681503,39,20201111113449,http://tong.visitkorea.or.kr/cms/resource/02/2681502_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2681502_image2_1.jpg,127.1162524789,36.9885875264,6.0,20210311145255,0.0,28.0,감자마을,경기도 평택시 참이슬2길 7,,031-654-5797,17874,28
7,A05,A0502,A05020100,2572109,39,20181203095701,,,129.2772822187,35.4176975393,,20200210170521,20.0,5.0,감자바우,울산광역시 울주군 온양읍 외고산옹기길 15-8,,052-238-2049,44973,5
32,A05,A0502,A05020100,2670841,39,20200904110615,http://tong.visitkorea.or.kr/cms/resource/12/2670912_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2670912_image2_1.jpg,128.8970944271,37.7530768644,6.0,20210310134729,0.0,1.0,감자바우식당,강원도 강릉시 금성로35번길 4,,033-648-4982,25543,1
6,A05,A0502,A05020100,2484393,39,20170308165440,http://tong.visitkorea.or.kr/cms/resource/80/2484380_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/2484380_image2_1.jpg,129.0088589663,35.0938066405,6.0,20200210170510,3137.0,10.0,감천 아지매 밥집,부산광역시 사하구 옥천로75번길 17,,070-8818-4405,49366,10
6,A02,A0201,A02010800,294452,12,20071126162214,http://tong.visitkorea.or.kr/cms/resource/83/1561883_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/1561883_image3_1.jpg,129.0912632411,35.1833036953,6.0,20210322165510,22523.0,13.0,감천사(부산),부산광역시 연제구 묘봉산로 40,(연산동),,47582,13
32,A02,A0201,A02010800,2398443,12,20160809171500,,,129.1221017754,37.4899894053,6.0,20160913132307,955.0,3.0,감추사,강원도 동해시 대동로 210,(송정동),033-530-2634,25779,3
32,A01,A0101,A01011200,2398444,12,20160809171644,,,129.1267533731,37.5147783066,6.0,20200630092113,773.0,3.0,감추해변,강원도 동해시 해안로 120,(용정동),033-530-2234,25779,3
35,A03,A0303,A03030600,131083,28,20020709000000,http://tong.visitkorea.or.kr/cms/resource/27/2668327_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2668327_image3_1.jpg,129.5060068276,35.8052138295,6.0,20200820164616,20455.0,2.0,감포방파제,경상북도 경주시 감포읍 감포항구길,(감포읍),,38125,2
35,A01,A0101,A01011400,128677,12,20051121000000,http://tong.visitkorea.or.kr/cms/resource/49/179449_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/179449_image3_1.jpg,129.5040374805,35.8078329413,6.0,20210122172719,43033.0,2.0,감포항,경북 경주시 감포읍 감포로,감포리,,780-830,2
2,A02,A0201,A02010700,1254680,12,20110411170054,http://tong.visitkorea.or.kr/cms/resource/72/1579072_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/1579072_image3_1.jpg,126.5171140395,37.7335377029,6.0,20201204092257,38635.0,1.0,갑곶돈대,인천광역시 강화군 강화읍 해안동로1366번길 18,,,23027,1
36,A05,A0502,A05020100,2572464,39,20181203151633,,,128.4240276475,34.8446128070,6.0,20200210170501,2.0,17.0,갑돌이와갑순이장어먹고,경상남도 통영시 통영해안로 335-7,(중앙동),055-648-5755,53053,17
3,A05,A0502,A05020100,2580163,39,20181219101628,,,127.3504390196,36.3048785550,6.0,20200210170452,12.0,3.0,갑부본가,대전광역시 서구 계백로 1145,(가수원동),042-538-1800,35368,3
34,A02,A0201,A02010800,125891,12,20031205000000,http://tong.visitkorea.or.kr/cms/resource/21/2675821_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2675821_image2_1.jpg,127.1873853143,36.3653437567,6.0,20201015102645,55017.0,1.0,갑사,충청남도 공주시 계룡면 갑사로 567-3,(계룡면),,32615,1
34,A01,A0101,A01010900,125833,12,20020603000000,http://tong.visitkorea.or.kr/cms/resource/62/214862_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/214862_image3_1.jpg,127.1822106747,36.3691793379,6.0,20201028101005,58636.0,1.0,갑사계곡,충청남도 공주시 계룡면 갑사로 225,,,32615,1
31,A05,A0502,A05020100,2652735,39,20200416142155,http://tong.visitkorea.or.kr/cms/resource/42/2660142_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2660142_image2_1.jpg,127.2084670831,37.5547764250,6.0,20210318104552,0.0,30.0,갑산면옥,경기도 하남시 월호로 62,,031-792-7768,12925,30
39,A01,A0101,A01010400,1887866,12,20140122095007,,,126.7810400382,33.3621052416,6.0,20201224144945,2483.0,3.0,갑선이오름,제주특별자치도 서귀포시 표선면 가시로592번길,(가시리) 일원,,63623,3
38,A05,A0502,A05020100,2688008,39,20201127141426,http://tong.visitkorea.or.kr/cms/resource/98/2701398_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2701398_image2_1.jpg,127.4834014780,34.9564282083,6.0,20210312145217,0.0,11.0,갑순네한방오리,전라남도 순천시 행중길 16,,061-755-7889,57941,11
37,A02,A0205,A02050200,1625103,12,20120508162120,,,126.9002222297,35.5097335146,6.0,20210224163152,17894.0,13.0,갑오동학혁명 100주년 기념탑,전라북도 정읍시 내장호반로 214,(쌍암동),,56199,13
38,A05,A0502,A05020900,845428,39,20091028221418,http://tong.visitkorea.or.kr/cms/resource/03/1972303_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/1972303_image3_1.jpg,127.0290759761,35.2406800581,6.0,20200527152331,17667.0,7.0,갑을원한옥카페,전라남도 담양군 창평면 돌담길 67,,061-382-3669,57389,7
35,A02,A0201,A02010800,294461,12,20071126162940,,,128.1855578191,36.3479775760,6.0,20200318104706,20349.0,9.0,갑장사(상주),경상북도 상주시 지천동,,,37226,9
35,A01,A0101,A01010400,126034,12,20040213000000,,,128.1858411308,36.3478581503,6.0,20210304102414,38546.0,9.0,갑장산,경상북도 상주시 지천1길 215-187,(지천동),,37228,9
3,A01,A0101,A01011800,1623750,12,20120507110148,http://tong.visitkorea.or.kr/cms/resource/71/1585671_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/1585671_image3_1.jpg,127.3686912472,36.3674994928,6.0,20201224095019,18258.0,4.0,갑천,대전광역시 유성구 대학로,(구성동),,34142,4
1,A05,A0502,A05020300,2685274,39,20201124123322,http://tong.visitkorea.or.kr/cms/resource/49/2684649_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/2684649_image2_1.jpg,127.0290211120,37.4988880116,6.0,20210315095814,0.0,1.0,갓덴스시 강남,서울특별시 강남구 테헤란로 109,,02-2051-1477,06134,1
38,A02,A0203,A02030600,126828,12,20040224000000,http://tong.visitkorea.or.kr/cms/resource/60/2515460_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2515460_image2_1.jpg,126.4209824186,34.7936564349,6.0,20200616140119,35243.0,8.0,갓바위 문화타운,전라남도 목포시 남농로 135,일대 (용해동),,58699,8
7,A05,A0502,A05020100,2572031,39,20181130164510,,,129.1110258846,35.5670443086,,20200210170444,16.0,5.0,갓바위 산골 순두부,울산광역시 울주군 언양읍 웃방천2길 10,,052-254-5292,44944,5
39,A02,A0206,A02060300,1939058,14,20140805094554,http://tong.visitkorea.or.kr/cms/resource/47/1938047_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/1938047_image3_1.jpg,126.6708367701,33.4372396188,6.0,20201217093953,2220.0,4.0,갓전시관,제주특별자치도 제주시 조천읍 남조로 1904,,,63346,4
1,A05,A0502,A05020500,402101,39,20080119212950,http://tong.visitkorea.or.kr/cms/resource/11/817811_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/817811_image3_1.jpg,127.0287953637,37.5260431875,6.0,20210315095952,25882.0,1.0,강가 압구정,서울특별시 강남구 논현로 868,,02-3444-3610,135-120,1
32,B02,B0201,B02010700,1122064,32,20101103130629,http://tong.visitkorea.or.kr/cms/resource/27/1948427_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/1948427_image3_1.jpg,128.4347977723,37.1788536889,6.0,20200420142417,37007.0,8.0,강가에 하얀집 펜션,강원도 영월군 영월읍 선돌길 83-9,,033-373-1139,26226,8
